Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 122+750 - 123+100,2018,Limpieza de carril/pista y bermas T2,m2,2018-01-01,30+000,140+000,35
km 122+750 - 123+100,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2018-01-08,116+250,162+260,30
km 122+750 - 123+100,2018,Desbroce Manual T2,m2,2018-01-11,116+600,166+700,200
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-02-21,122+000,123+000,450
km 122+750 - 123+100,2018,Desbroce Manual T2,m2,2018-02-21,122+150,123+315,650
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-02-21,123+000,123+315,280
km 122+750 - 123+100,2018,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2018-03-24,123+048,123+050,2
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-03-27,31+650,131+700,50
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-04-25,122+100,122+950,700
km 122+750 - 123+100,2018,Limpieza de carril/pista y bermas T2,m2,2018-04-26,116+000,124+900,8900
km 122+750 - 123+100,2018,Limpieza de carril/pista y bermas T2,m2,2018-07-07,109+200,198+400,30
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-09-11,122+900,123+400,200
km 122+750 - 123+100,2018,Limpieza manual de juntas de cuneta de vía,ml,2018-09-11,122+900,123+400,226.66666666666666
km 122+750 - 123+100,2018,Repintado de Delineador T2,und,2018-09-18,122+720,124+000,9
km 122+750 - 123+100,2018,Limpieza de Postes de Señalización Vertical T2,und,2018-09-18,122+720,124+000,9
km 122+750 - 123+100,2018,Limpieza Manual de Cuneta de Vía T2,ml,2018-09-27,122+300,122+900,400
km 122+750 - 123+100,2019,Limpieza Manual de Cuneta de Vía T2,ml,2018-12-29,123+000,123+100,100
km 122+750 - 123+100,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 122+750 - 123+100,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-05-17,122+100,123+350,1100
km 122+750 - 123+100,2019,Limpieza de juntas en cunetas y berma,ml,2019-05-17,122+100,123+350,623.3333333333334
km 122+750 - 123+100,2019,Desbroce Manual T2,m2,2019-05-17,122+100,123+350,900
km 122+750 - 123+100,2019,Desbroce Manual T2,m2,2019-05-17,123+100,123+200,300
km 122+750 - 123+100,2019,Desbroce Manual T2,m2,2019-05-28,123+100,123+200,100
km 122+750 - 123+100,2019,#N/A,#N/A,2019-06-20,123+000,124+000,100
km 122+750 - 123+100,2019,Reparación de Bache Superficial T2,m2,2019-06-25,122+799,122+799,0.04000000000000001
km 122+750 - 123+100,2019,Reparación de Bache Superficial T2,m2,2019-06-25,122+837,122+837,0.04000000000000001
km 122+750 - 123+100,2019,Reparación de Bache Superficial T2,m2,2019-06-25,122+857,122+857,0.04000000000000001
km 122+750 - 123+100,2019,Reparación de Bache Superficial T2,m2,2019-06-25,122+920,122+920,0.04000000000000001
km 122+750 - 123+100,2019,Reparación de Bache Superficial T2,m2,2019-06-25,122+924,122+924,0.04000000000000001
km 122+750 - 123+100,2019,Reposición de Tachas Reflectivas T2,und,2019-06-27,122+000,123+000,36
km 122+750 - 123+100,2019,Limpieza de carril/pista y bermas T2,m2,2019-07-10,122+700,122+800,100
km 122+750 - 123+100,2019,Limpieza de carril/pista y bermas T2,m2,2019-07-10,122+800,122+900,100
km 122+750 - 123+100,2019,Limpieza de carril/pista y bermas T2,m2,2019-07-10,122+900,123+000,100
km 122+750 - 123+100,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-22,116+000,1116+620,150
km 122+750 - 123+100,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-12-04,114+500,214+600,100
km 122+750 - 123+100,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-12-25,122+800,122+806,6
km 122+750 - 123+100,2020,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-12-29,64+150,646+160,10
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-02,120+900,130+020,50
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-18,122+700,123+700,500
km 122+750 - 123+100,2020,Limpieza de Juntas en Cuneta y Berma,ml,2020-01-18,122+700,123+400,396.6666666666667
km 122+750 - 123+100,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,27
km 122+750 - 123+100,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,26
km 122+750 - 123+100,2020,Limpieza Manual de Zanjas de Coronación T2,ml,2020-03-09,120+330,130+585,25
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-10-05,122+200,122+800,700
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-10-05,122+200,122+800,700
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-10-05,122+700,122+810,110
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-10-15,122+950,123+450,283.3333333333333
km 122+750 - 123+100,2020,Limpieza Residuos Solidos / Basuras,m2,2020-10-15,122+950,123+450,250
km 122+750 - 123+100,2020,Limpieza de carril/pista y bermas T2,m2,2020-10-15,122+952,123+200,248
km 122+750 - 123+100,2020,Desbroce Manual T2,m2,2020-10-15,123+000,123+500,1350
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-10-19,22+530,222+600,70
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-11-17,122+000,123+000,450
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-11-17,122+000,123+000,255
km 122+750 - 123+100,2020,Limpieza de Guardavías T2,ml,2020-11-17,122+633,122+875,242
km 122+750 - 123+100,2020,Reparación Parcial de Guarda Vías T2,ml,2020-11-26,122+635,122+784,4
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-12-08,122+600,122+800,200
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-12-09,121+520,124+524,4
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-12-09,121+520,124+524,2.2666666666666666
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-12-10,25+305,169+500,85
km 122+750 - 123+100,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-12-10,25+320,171+500,5
km 122+750 - 123+100,2020,Limpieza de Juntas en Cunetas y Bermas,ml,2020-12-10,25+750,168+400,25.5
km 122+750 - 123+100,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-02-10,120+000,124+700,198.33333333333334
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-02-22,122+000,123+040,750
km 122+750 - 123+100,2021,Limpieza Residuos Solidos / Basuras,m2,2021-02-22,122+000,123+000,120
km 122+750 - 123+100,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-02-22,122+100,123+040,283.3333333333333
km 122+750 - 123+100,2021,Desbroce Manual T2,m2,2021-03-03,121+500,192+000,3000
km 122+750 - 123+100,2021,Repintado de Postes de Señalización Vertical T2,m2,2021-03-08,119+000,180+000,6.24
km 122+750 - 123+100,2021,Limpieza de Postes de Señalización Vertical T2,und,2021-03-08,119+000,180+000,4
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-03-08,123+090,123+280,160
km 122+750 - 123+100,2021,Limpieza de Juntas en Cunetas y Bermas,ml,2021-03-08,123+090,123+250,90.66666666666667
km 122+750 - 123+100,2021,Limpieza Manual de Cuerpo de Alcantarilla T2,ml,2021-04-05,17+248,172+498,8
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-04-16,102+000,162+000,100
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-05-10,122+890,122+900,10
km 122+750 - 123+100,2021,Limpieza Residuos Solidos / Basuras,m2,2021-06-14,122+000,123+050,180
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,122+720,122+800,80
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,122+800,122+920,120
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-06-14,122+920,123+050,130
km 122+750 - 123+100,2021,Pintura Chevron Guarda Vías T2,m2,2021-06-14,14+125,142+245,4
km 122+750 - 123+100,2021,Limpieza de Guardavías T2,ml,2021-06-14,14+125,142+245,80
km 122+750 - 123+100,2021,Desbroce Manual T2,m2,2021-06-24,19+600,196+900,50
km 122+750 - 123+100,2021,Reposición de Cuneta,ml,2021-07-14,120+125,125+160,6
km 122+750 - 123+100,2021,Repintado de delineador T2,und,2021-07-26,122+700,122+775,13
km 122+750 - 123+100,2021,Limpieza de Delineador T2,und,2021-07-26,122+700,122+775,13
km 122+750 - 123+100,2021,Limpieza de carril/pista y bermas T2,m2,2021-07-26,122+740,122+780,144
km 122+750 - 123+100,2021,Limpieza Residuos Sólidos / Basuras,m2,2021-09-16,122+885,122+915,30
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,122+598,122+952,354
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,122+952,122+995,43
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,123+025,123+100,75
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-10-11,123+100,123+200,100
km 122+750 - 123+100,2021,Limpieza de carril/pista y bermas T2,m2,2021-11-20,116+700,166+800,50
km 122+750 - 123+100,2021,Limpieza Residuos Sólidos / Basuras,m2,2021-12-16,122+000,123+000,120
km 122+750 - 123+100,2021,Limpieza Manual de Cuneta de Vía T2,ml,2021-12-20,122+880,122+881,1
km 122+750 - 123+100,2022,Limpieza Residuos Sólidos / Basuras,m2,2021-12-26,111+600,214+630,30
km 122+750 - 123+100,2022,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2022-01-07,122+780,122+803,4
km 122+750 - 123+100,2022,Desbroce Manual T2,m2,2022-01-07,122+860,122+880,60
km 122+750 - 123+100,2022,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-01-09,12+500,126+000,12
km 122+750 - 123+100,2022,Limpieza de carril/pista y bermas T2,m2,2022-01-21,120+900,129+999,99
km 122+750 - 123+100,2022,Limpieza de carril/pista y bermas T2,m2,2022-01-21,120+900,129+999,99
km 122+750 - 123+100,2022,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-02-09,21+100,214+150,15
km 122+750 - 123+100,2022,Limpieza Manual de Cuneta de Vía T2,ml,2022-02-21,123+000,123+100,100
km 122+750 - 123+100,2022,Limpieza de Guardavías T2,ml,2022-03-25,122+950,123+190,152
km 122+750 - 123+100,2022,Limpieza de Guardavías T2,ml,2022-03-28,122+650,122+900,200
km 122+750 - 123+100,2022,Limpieza Manual de Cuneta de Vía T2,ml,2022-06-03,122+500,122+950,330
km 122+750 - 123+100,2022,Reposición de Tachas Reflectivas T2,und,2022-06-10,122+000,123+000,63
km 122+750 - 123+100,2022,Reposición de Tachas Reflectivas T2,und,2022-06-10,122+000,123+000,32
km 122+750 - 123+100,2022,Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2022-06-10,122+619,122+750,50
km 122+750 - 123+100,2022,Limpieza de carril/pista y bermas T2,m2,2022-06-10,122+786,122+800,30
km 122+750 - 123+100,2022,Limpieza Manual de Cuneta de Vía T2,ml,2022-06-10,122+951,122+985,34
km 122+750 - 123+100,2022,Pintura Chevron Guarda Vías T2,m2,2022-06-10,122+962,122+985,3
km 122+750 - 123+100,2022,Repintado de Postes de Señalización Vertical T2,m2,2022-06-13,113+176,137+767,7.8
km 122+750 - 123+100,2022,Limpieza Manual de Cuneta de Vía T2,ml,2022-06-14,103+200,203+400,100
km 122+750 - 123+100,2022,Repintado de delineador T2,und,2022-09-09,82+190,182+224,4
km 122+750 - 123+100,2022,Desbroce Manual T2,m2,2022-09-15,16+000,160+400,2400
km 122+750 - 123+100,2022,Limpieza Residuos Sólidos / Basuras,m2,2022-09-21,122+780,122+980,200
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-02-15,122+700,122+800,100
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-02-15,122+816,122+830,41
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-02-15,122+913,123+000,87
km 122+750 - 123+100,2023,Desbroce Manual T2,m2,2023-04-26,120+000,131+000,6000
km 122+750 - 123+100,2023,Limpieza Residuos Sólidos / Basuras,m2,2023-05-10,122+930,122+930,80
km 122+750 - 123+100,2023,Desbroce Manual T2,m2,2023-05-23,123+000,123+700,4200
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-05-23,123+000,123+700,700
km 122+750 - 123+100,2023,Repintado de Postes de (hitos) kilométricos T2,m2,2023-05-23,123+000,123+000,0.5
km 122+750 - 123+100,2023,Repintado de Parapetos Muros T2,m2,2023-05-23,123+044,123+046,2
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-05-23,123+100,123+200,100
km 122+750 - 123+100,2023,Limpieza de Placas de Señalización Vertical T2,m2,2023-07-11,45+000,146+000,0.5625
km 122+750 - 123+100,2023,Repintado de Postes de Señalización Vertical T2,m2,2023-07-12,122+000,123+000,1.56
km 122+750 - 123+100,2023,Limpieza Residuos Sólidos / Basuras,m2,2023-09-08,122+000,123+000,120
km 122+750 - 123+100,2023,Limpieza de carril/pista y bermas T2,m2,2023-09-08,122+766,122+800,34
km 122+750 - 123+100,2023,Limpieza de Delineador T2,und,2023-09-08,122+790,122+792,1
km 122+750 - 123+100,2023,Limpieza de Delineador T2,und,2023-09-08,122+875,122+876,1
km 122+750 - 123+100,2023,Limpieza de Guardavías T2,ml,2023-09-08,122+900,123+000,100
km 122+750 - 123+100,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-09-14,113+260,133+300,40
km 122+750 - 123+100,2024,Limpieza Manual de Cuneta de Vía T2,ml,2024-01-16,12+580,125+100,20
km 122+750 - 123+100,2024,Limpieza Residuos Sólidos / Basuras,m2,2024-02-08,123+000,124+000,20
km 122+750 - 123+100,2024,Limpieza Manual de Cuneta de Vía T2,ml,2024-02-08,123+030,123+100,50
km 122+750 - 123+100,2024,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2024-02-08,123+044,123+046,14
km 122+750 - 123+100,2024,Limpieza Manual de Cuneta de Vía T2,ml,2024-03-11,94+730,947+776,99
km 122+750 - 123+100,2024,Limpieza Manual de Cuneta de Vía T2,ml,2024-05-15,15+120,151+215,15
km 122+750 - 123+100,2025,Limpieza de Guardavías T2,ml,2025-01-14,122+650,122+900,250
km 122+750 - 123+100,2025,Limpieza de Guardavías T2,ml,2025-02-07,122+950,123+200,250
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-02-14,122+750,122+800,20
km 122+750 - 123+100,2025,Limpieza de Postes de Señalización Vertical T2,und,2025-03-07,68+239,168+239,1
km 122+750 - 123+100,2025,Limpieza de Placas de Señalización Vertical T2,m2,2025-03-07,68+239,168+239,0.5625
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-03-17,122+200,123+600,100
km 122+750 - 123+100,2025,Limpieza de carril/pista y bermas T2,m2,2025-03-20,122+000,123+000,1000
km 122+750 - 123+100,2025,Limpieza de carril/pista y bermas T2,m2,2025-03-20,123+000,123+700,700
km 122+750 - 123+100,2025,Limpieza de carril/pista y bermas T2,m2,2025-03-24,122+900,123+000,100
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-04-03,122+870,123+020,150
km 122+750 - 123+100,2025,Reparación de Bache Superficial T2,m2,2025-04-03,122+900,122+935,4
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-04-30,123+080,123+110,30
km 122+750 - 123+100,2025,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-09,120+290,129+290,12
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-05-09,123+030,128+040,10
km 122+750 - 123+100,2025,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-15,13+620,130+620,12
km 122+750 - 123+100,2025,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2025-05-21,123+060,123+060,14
km 122+750 - 123+100,2025,Reposición de Tachas Reflectivas T2,und,2025-06-19,122+000,123+000,35
km 122+750 - 123+100,2025,Reposición de Tachas Reflectivas T2,und,2025-06-19,123+000,124+000,20
km 122+750 - 123+100,2025,Desbroce Manual T2,m2,2025-06-26,45+330,145+460,340
km 122+750 - 123+100,2025,Pintura o Reaplicación por Aspersión T2,ml,2025-07-03,121+400,241+203,12
km 122+750 - 123+100,2025,Reposición de Tachas Reflectivas T2,und,2025-07-18,13+500,135+400,6
km 122+750 - 123+100,2025,Pintura o Reaplicación por Aspersión T2,ml,2025-08-08,112+950,133+100,30
km 122+750 - 123+100,2025,Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-08-27,114+291,124+311,40
km 122+750 - 123+100,2025,Repintado de delineador T2,und,2025-08-27,122+700,122+780,13
km 122+750 - 123+100,2025,Limpieza de carril/pista y bermas T2,m2,2025-08-27,122+700,122+780,80
km 122+750 - 123+100,2025,Repintado de delineador T2,und,2025-09-02,12+080,124+160,10
km 122+750 - 123+100,2025,Limpieza de carril/pista y bermas T2,m2,2025-09-06,123+000,124+000,500
km 122+750 - 123+100,2025,Limpieza Residuos Sólidos / Basuras,m2,2025-09-11,122+000,123+000,160
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-09-11,122+900,123+000,100
km 122+750 - 123+100,2025,Limpieza Residuos Sólidos / Basuras,m2,2025-09-23,123+060,123+085,25
km 122+750 - 123+100,2025,Desbroce Manual T2,m2,2025-10-05,28+300,128+500,1200
km 122+750 - 123+100,2025,Limpieza Residuos Sólidos / Basuras,m2,2025-11-05,122+900,133+000,100
km 122+750 - 123+100,2025,Limpieza Manual de Cuneta de Vía T2,ml,2025-11-07,123+050,123+120,70
km 122+750 - 123+100,2026,Limpieza de carril/pista y bermas T2,m2,2026-01-19,122+980,128+000,60
km 122+750 - 123+100,2026,Limpieza Manual de Cuneta de Vía T2,ml,2026-01-20,107+900,170+970,70
km 122+750 - 123+100,2026,Limpieza Manual de Cuneta de Vía T2,ml,2026-01-23,122+960,123+000,40
km 122+750 - 123+100,2026,Remocion de Derrumbes T2,m3,2026-01-23,122+980,123+000,30
km 122+750 - 123+100,2026,Limpieza de carril/pista y bermas T2,m2,2026-01-23,122+980,125+020,100
km 122+750 - 123+100,2026,Reparación de Bache Superficial T2,m2,2026-01-28,122+790,122+790,1
km 122+750 - 123+100,2026,Limpieza Residuos Sólidos / Basuras,m2,2026-02-12,122+000,123+000,150
km 122+750 - 123+100,2026,Limpieza de carril/pista y bermas T2,m2,2026-02-12,122+200,122+999,100
km 122+750 - 123+100,2026,Limpieza Manual de Cuneta de Vía T2,ml,2026-02-12,122+700,122+800,100
km 122+750 - 123+100,2026,Limpieza Manual de Cuneta de Vía T2,ml,2026-02-12,122+800,122+999,100
km 122+750 - 123+100,2026,Repintado de Parapetos Muros T2,m2,2026-02-12,122+945,122+940,12
