Tramo,Año,Descripción,Unidad,Fecha,Inicio (km),Fin (km),Metrado
km 284+750 - 284+790,2018,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2017-12-28,215+280,2215+290,8
km 284+750 - 284+790,2019,Reparación de las Estructuras de Contención (gabión) T2,m3,2019-01-19,237+914,2379+984,1
km 284+750 - 284+790,2019,Limpieza de Barandas Metálicas T2,m2,2019-03-19,207+390,2017+400,20
km 284+750 - 284+790,2019,Remocion de Derrumbes T2,m3,2019-03-19,76+980,770+000,300
km 284+750 - 284+790,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-08-22,116+000,1116+620,150
km 284+750 - 284+790,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-11-11,212+180,2122+230,50
km 284+750 - 284+790,2019,Limpieza Manual de Cuneta de Vía T2,ml,2019-11-26,229+000,290+100,100
km 284+750 - 284+790,2020,Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2019-12-29,64+150,646+160,10
km 284+750 - 284+790,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-01-07,193+000,913+800,800
km 284+750 - 284+790,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,27
km 284+750 - 284+790,2020,Reposición de Tachas Reflectivas T2,und,2020-01-23,42+000,434+000,26
km 284+750 - 284+790,2020,Limpieza Manual de Cuneta de Vía T2,ml,2020-09-21,174+519,3174+561,42
km 284+750 - 284+790,2021,Desbroce Manual T2,m2,2021-01-28,204+760,2043+840,40
km 284+750 - 284+790,2021,Limpieza mecanizada de cabezal de alcantarilla T2,m3,2021-01-29,228+600,288+700,7
km 284+750 - 284+790,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-01-06,152+700,1528+000,100
km 284+750 - 284+790,2023,Limpieza de Juntas en Cunetas y Bermas,ml,2023-01-06,152+700,1528+000,56.666666666666664
km 284+750 - 284+790,2023,Limpieza Manual de Cuneta de Vía T2,ml,2023-05-02,178+500,1749+700,200
km 284+750 - 284+790,2023,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-05-03,240+360,340+365,12
km 284+750 - 284+790,2023,Limpieza Manual de Cabezal de Alcantarilla T2,ml,2023-10-26,153+610,1536+120,10
km 284+750 - 284+790,2023,Limpieza Residuos Sólidos / Basuras,m2,2023-10-31,169+220,2169+320,20
km 284+750 - 284+790,2024,Limpieza Manual de Cuneta de Vía T2,ml,2024-03-11,94+730,947+776,99
