Descripción,Unidad,Fecha,INICIO (KM),FIN (KM),METRADO
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2022-04-03,175+265,175+275,10
Limpieza de Guardavías T2,ml,2023-10-10,175+260,175+282,22
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2024-01-15,175+265,175+280,15
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2025-02-26,175+260,175+270,15
Limpieza Manual de Cuneta de Vía T2,ml,2025-03-25,175+260,175+270,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-03-26,175+260,175+270,100
Remocion de Derrumbes T2,m3,2025-03-27,175+260,175+270,105
Limpieza de carril/pista y bermas T2,m2,2025-03-27,175+260,175+270,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-04-04,175+260,175+285,120
Limpieza Manual de Cuneta de Vía T2,ml,2025-04-06,175+260,175+285,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-04-06,175+260,175+285,100
Remocion de Derrumbes T2,m3,2025-04-07,175+260,175+285,60
Remocion de Derrumbes T2,m3,2025-04-07,175+260,175+285,15
Remocion de Derrumbes T2,m3,2025-04-08,175+260,175+285,135
Remocion de Derrumbes T2,m3,2025-04-09,175+260,175+285,90
Remocion de Derrumbes T2,m3,2025-04-09,175+260,175+285,45
Remocion de Derrumbes T2,m3,2025-04-11,175+260,175+285,45
Remocion de Derrumbes T2,m3,2025-04-14,175+260,175+285,135
Remocion de Derrumbes T2,m3,2025-04-16,175+260,175+285,330
Limpieza de carril/pista y bermas T2,m2,2025-04-18,175+260,175+285,25
Remocion de Derrumbes T2,m3,2025-04-21,175+260,175+285,135
Remocion de Derrumbes T2,m3,2025-04-22,175+260,175+285,75
Remocion de Derrumbes T2,m3,2025-04-26,175+260,175+285,135
Remocion de Derrumbes T2,m3,2025-04-27,175+260,175+285,195
Remocion de Derrumbes T2,m3,2025-05-11,175+260,175+285,30
Limpieza de Deslizamientos Menores < 15 m3 T2,m3,2025-08-31,175+260,175+280,15
Limpieza de Superfície de Concreto y Dispos. Drenaje T2,ml,2025-09-06,175+260,175+270,100
Limpieza Manual de Cuneta de Vía T2,ml,2025-11-21,175+270,175+270,120
Limpieza de Cajas de Inspección Subdren T2,und,2025-11-27,175+270,175+270,2
